,datetime,level,content
0,2021-10-26 14:05:14.694582,0.0,(0) Proposto: 0.0013698630136986301|Atual: 0.0013297872340425532
1,2021-10-26 14:05:14.700419,0.0,(0) Aceitação: 1.0301369863013699|U: 0.26291183588944866
2,2021-10-26 14:05:14.705716,0.0,(0) Aceito!
3,2021-10-26 14:05:14.717613,0.0,(1) Proposto: 0.0013020833333333333|Atual: 0.0013698630136986301
4,2021-10-26 14:05:14.720494,0.0,(1) Aceitação: 0.9505208333333333|U: 0.11083565047564015
5,2021-10-26 14:05:14.723909,0.0,(1) Aceito!
6,2021-10-26 14:05:14.731669,0.0,(2) Proposto: 0.001288659793814433|Atual: 0.0013020833333333333
7,2021-10-26 14:05:14.734265,0.0,(2) Aceitação: 0.9896907216494846|U: 0.9975171097762058
8,2021-10-26 14:05:14.737801,0.0,(2) Reprovado!
9,2021-10-26 14:05:14.746505,0.0,(3) Proposto: 0.0013477088948787063|Atual: 0.0013020833333333333
10,2021-10-26 14:05:14.750157,0.0,(3) Aceitação: 1.0350404312668464|U: 0.5146367624977007
11,2021-10-26 14:05:14.752504,0.0,(3) Aceito!
12,2021-10-26 14:05:14.761792,0.0,(4) Proposto: 0.0013123359580052493|Atual: 0.0013477088948787063
13,2021-10-26 14:05:14.765552,0.0,(4) Aceitação: 0.973753280839895|U: 0.07348220946036355
14,2021-10-26 14:05:14.768676,0.0,(4) Aceito!
15,2021-10-26 14:05:14.775635,0.0,(5) Proposto: 0.0013404825737265416|Atual: 0.0013123359580052493
16,2021-10-26 14:05:14.778754,0.0,(5) Aceitação: 1.0214477211796247|U: 0.29519756574372813
17,2021-10-26 14:05:14.780684,0.0,(5) Aceito!
18,2021-10-26 14:05:14.787339,0.0,(6) Proposto: 0.001358695652173913|Atual: 0.0013404825737265416
19,2021-10-26 14:05:14.789557,0.0,(6) Aceitação: 1.013586956521739|U: 0.1725775686906944
20,2021-10-26 14:05:14.791480,0.0,(6) Aceito!
21,2021-10-26 14:05:14.798302,0.0,(7) Proposto: 0.0014326647564469914|Atual: 0.001358695652173913
22,2021-10-26 14:05:14.800486,0.0,(7) Aceitação: 1.0544412607449856|U: 0.4369684455404409
23,2021-10-26 14:05:14.802778,0.0,(7) Aceito!
24,2021-10-26 14:05:14.810106,0.0,(8) Proposto: 0.0013812154696132596|Atual: 0.0014326647564469914
25,2021-10-26 14:05:14.812143,0.0,(8) Aceitação: 0.9640883977900553|U: 0.8403577472087094
26,2021-10-26 14:05:14.814451,0.0,(8) Aceito!
27,2021-10-26 14:05:14.821886,0.0,(9) Proposto: 0.00141643059490085|Atual: 0.0013812154696132596
28,2021-10-26 14:05:14.824521,0.0,(9) Aceitação: 1.0254957507082154|U: 0.20440589618722493
29,2021-10-26 14:05:14.826872,0.0,(9) Aceito!
30,2021-10-26 14:05:14.832278,0.0,(10) Proposto: 0.0013736263736263737|Atual: 0.00141643059490085
31,2021-10-26 14:05:14.834781,0.0,(10) Aceitação: 0.9697802197802198|U: 0.45524554127027317
32,2021-10-26 14:05:14.836789,0.0,(10) Aceito!
33,2021-10-26 14:05:14.842640,0.0,(11) Proposto: 0.0013297872340425532|Atual: 0.0013736263736263737
34,2021-10-26 14:05:14.845030,0.0,(11) Aceitação: 0.9680851063829786|U: 0.27656906432462036
35,2021-10-26 14:05:14.846915,0.0,(11) Aceito!
