,content
0,(0) Proposto: 0.0014705882352941176|Atual: 0.0015015015015015015
1,(0) Aceitação: 0.9794117647058823|U: 0.26931058496466964
2,(0) Aceito!
3,(1) Proposto: 0.0015527950310559005|Atual: 0.0014705882352941176
4,(1) Aceitação: 1.0559006211180124|U: 0.027716979243070927
5,(1) Aceito!
6,(2) Proposto: 0.0015384615384615385|Atual: 0.0015527950310559005
7,(2) Aceitação: 0.9907692307692308|U: 0.42784364644865824
8,(2) Aceito!
9,(3) Proposto: 0.0013123359580052493|Atual: 0.0015384615384615385
10,(3) Aceitação: 0.8530183727034121|U: 0.9007686761851084
11,(3) Reprovado!
12,(4) Proposto: 0.0014925373134328358|Atual: 0.0015384615384615385
13,(4) Aceitação: 0.9701492537313433|U: 0.23519216814765387
14,(4) Aceito!
15,(5) Proposto: 0.0014204545454545455|Atual: 0.0014925373134328358
16,(5) Aceitação: 0.9517045454545455|U: 0.1630874577282745
17,(5) Aceito!
18,(6) Proposto: 0.0014577259475218659|Atual: 0.0014204545454545455
19,(6) Aceitação: 1.0262390670553936|U: 0.5596179754646071
20,(6) Aceito!
21,(7) Proposto: 0.0014577259475218659|Atual: 0.0014577259475218659
22,(7) Aceitação: 1.0|U: 0.640211335795252
23,(7) Aceito!
24,(8) Proposto: 0.001392757660167131|Atual: 0.0014577259475218659
25,(8) Aceitação: 0.9554317548746518|U: 0.8935490107119172
26,(8) Aceito!
27,(9) Proposto: 0.0014925373134328358|Atual: 0.001392757660167131
28,(9) Aceitação: 1.0716417910447762|U: 0.3272705060732064
29,(9) Aceito!
30,(10) Proposto: 0.0015015015015015015|Atual: 0.0014925373134328358
31,(10) Aceitação: 1.006006006006006|U: 0.5777997092984895
32,(10) Aceito!
33,(11) Proposto: 0.0014492753623188406|Atual: 0.0015015015015015015
34,(11) Aceitação: 0.9652173913043478|U: 0.9177664630951464
35,(11) Aceito!
36,(12) Proposto: 0.0015384615384615385|Atual: 0.0014492753623188406
37,(12) Aceitação: 1.0615384615384615|U: 0.24119453839356308
38,(12) Aceito!
39,(13) Proposto: 0.0015060240963855422|Atual: 0.0015384615384615385
40,(13) Aceitação: 0.9789156626506025|U: 0.9051080174776643
41,(13) Aceito!
42,(14) Proposto: 0.0014084507042253522|Atual: 0.0015060240963855422
43,(14) Aceitação: 0.9352112676056338|U: 0.756427256381339
44,(14) Aceito!
45,(15) Proposto: 0.0014970059880239522|Atual: 0.0014084507042253522
46,(15) Aceitação: 1.062874251497006|U: 0.43263004933533755
47,(15) Aceito!
48,(16) Proposto: 0.0014792899408284023|Atual: 0.0014970059880239522
49,(16) Aceitação: 0.9881656804733727|U: 0.04983195704206267
50,(16) Aceito!
51,(17) Proposto: 0.0014749262536873156|Atual: 0.0014792899408284023
52,(17) Aceitação: 0.9970501474926253|U: 0.7383565770146779
53,(17) Aceito!
54,(18) Proposto: 0.0015015015015015015|Atual: 0.0014749262536873156
55,(18) Aceitação: 1.018018018018018|U: 0.23395765260308843
56,(18) Aceito!
57,(19) Proposto: 0.0015432098765432098|Atual: 0.0015015015015015015
58,(19) Aceitação: 1.0277777777777777|U: 0.8771499608110391
59,(19) Aceito!
60,(20) Proposto: 0.0015060240963855422|Atual: 0.0015432098765432098
61,(20) Aceitação: 0.9759036144578315|U: 0.2323454971461152
62,(20) Aceito!
63,(21) Proposto: 0.0015527950310559005|Atual: 0.0015060240963855422
64,(21) Aceitação: 1.031055900621118|U: 0.5325863375528522
65,(21) Aceito!
66,(22) Proposto: 0.001524390243902439|Atual: 0.0015527950310559005
67,(22) Aceitação: 0.9817073170731708|U: 0.9990553576497444
68,(22) Reprovado!
69,(23) Proposto: 0.001557632398753894|Atual: 0.0015527950310559005
70,(23) Aceitação: 1.003115264797508|U: 0.13829576443106284
71,(23) Aceito!
72,(24) Proposto: 0.001557632398753894|Atual: 0.001557632398753894
73,(24) Aceitação: 1.0|U: 0.7543276147033574
74,(24) Aceito!
75,(25) Proposto: 0.0014970059880239522|Atual: 0.001557632398753894
76,(25) Aceitação: 0.9610778443113773|U: 0.9551883492533827
77,(25) Aceito!
78,(26) Proposto: 0.0014534883720930232|Atual: 0.0014970059880239522
79,(26) Aceitação: 0.9709302325581395|U: 0.7030030206350107
80,(26) Aceito!
81,(27) Proposto: 0.0015772870662460567|Atual: 0.0014534883720930232
82,(27) Aceitação: 1.085173501577287|U: 0.7610505423221738
83,(27) Aceito!
84,(28) Proposto: 0.0016181229773462784|Atual: 0.0015772870662460567
85,(28) Aceitação: 1.0258899676375406|U: 0.5279139865500256
86,(28) Aceito!
87,(29) Proposto: 0.001519756838905775|Atual: 0.0016181229773462784
88,(29) Aceitação: 0.939209726443769|U: 0.3628694724398135
89,(29) Aceito!
90,(30) Proposto: 0.0015290519877675841|Atual: 0.001519756838905775
91,(30) Aceitação: 1.0061162079510704|U: 0.5736420629004257
92,(30) Aceito!
93,(31) Proposto: 0.0016129032258064516|Atual: 0.0015290519877675841
94,(31) Aceitação: 1.0548387096774194|U: 0.8034650870844401
95,(31) Aceito!
96,(32) Proposto: 0.0015772870662460567|Atual: 0.0016129032258064516
97,(32) Aceitação: 0.9779179810725551|U: 0.24578186967873583
98,(32) Aceito!
99,(33) Proposto: 0.001567398119122257|Atual: 0.0015772870662460567
100,(33) Aceitação: 0.9937304075235109|U: 0.22766195268023037
101,(33) Aceito!
102,(34) Proposto: 0.0014749262536873156|Atual: 0.001567398119122257
103,(34) Aceitação: 0.9410029498525074|U: 0.04028570288836708
104,(34) Aceito!
105,(35) Proposto: 0.0015384615384615385|Atual: 0.0014749262536873156
106,(35) Aceitação: 1.043076923076923|U: 0.08139088872845024
107,(35) Aceito!
108,(36) Proposto: 0.0015822784810126582|Atual: 0.0015384615384615385
109,(36) Aceitação: 1.0284810126582278|U: 0.40932826115840804
110,(36) Aceito!
111,(37) Proposto: 0.0015432098765432098|Atual: 0.0015822784810126582
112,(37) Aceitação: 0.9753086419753086|U: 0.6616638866484852
113,(37) Aceito!
114,(38) Proposto: 0.0014492753623188406|Atual: 0.0015432098765432098
115,(38) Aceitação: 0.9391304347826087|U: 0.17949365656871874
116,(38) Aceito!
117,(39) Proposto: 0.0014970059880239522|Atual: 0.0014492753623188406
118,(39) Aceitação: 1.032934131736527|U: 0.6964609547084927
119,(39) Aceito!
