,entrada,cenario,rodada,tempo_desconectado,tempo_conectado_sem_link,tempo_sem_link
0,"(5, 6)",SimulacaoCenario1Deterministico,0.0,0.76824641291441,0.22282941176793064,0.9910758246823407
1,"(5, 6)",SimulacaoCenario1Deterministico,0.0,0.7276578611165376,0.23280224543058856,0.9604601065471262
2,"(5, 6)",SimulacaoCenario1Deterministico,0.0,0.7320713620110167,0.24324898531239342,0.97532034732341
3,"(5, 6)",SimulacaoCenario1Deterministico,0.0,0.7336715321354998,0.2453425528089516,0.9790140849444514
4,"(5, 6)",SimulacaoCenario1Deterministico,0.0,0.7432214033271765,0.22916098467420756,0.972382388001384
5,"(5, 6)",SimulacaoCenario1Deterministico,0.0,0.7413437071486215,0.24364244808903912,0.9849861552376605
6,"(5, 6)",SimulacaoCenario1Deterministico,0.0,0.7432349720595376,0.24161926302064307,0.9848542350801804
7,"(5, 6)",SimulacaoCenario1Deterministico,0.0,0.7052193417758631,0.29240421205993794,0.997623553835801
8,"(5, 6)",SimulacaoCenario1Deterministico,0.0,0.6872272450497954,0.2779919759896308,0.9652192210394261
9,"(5, 6)",SimulacaoCenario1Deterministico,0.0,0.7163212540563667,0.2748225379786343,0.991143792035001
10,"(5, 6)",SimulacaoCenario1Deterministico,1.0,0.620423965998493,0.34941179461874877,0.9698357606172417
11,"(5, 6)",SimulacaoCenario1Deterministico,1.0,0.7300007179435092,0.2609580360788337,0.9909587540223429
12,"(5, 6)",SimulacaoCenario1Deterministico,1.0,0.7010978832643471,0.2534653287910975,0.9545632120554447
13,"(5, 6)",SimulacaoCenario1Deterministico,1.0,0.7170174412325583,0.27129365039277115,0.9883110916253294
14,"(5, 6)",SimulacaoCenario1Deterministico,1.0,0.7371714342886629,0.23263578547922678,0.9698072197678896
15,"(5, 6)",SimulacaoCenario1Deterministico,1.0,0.7102418854168323,0.2626087407471272,0.9728506261639596
16,"(5, 6)",SimulacaoCenario1Deterministico,1.0,0.7217548833088954,0.2689765453356552,0.9907314286445505
17,"(5, 6)",SimulacaoCenario1Deterministico,1.0,0.7246775902072287,0.2608287753031818,0.9855063655104105
18,"(5, 6)",SimulacaoCenario1Deterministico,1.0,0.6303807487675361,0.3431136301997522,0.9734943789672885
19,"(5, 6)",SimulacaoCenario1Deterministico,1.0,0.7289186832984429,0.26711638893535533,0.9960350722337983
20,"(5, 6)",SimulacaoCenario1Deterministico,2.0,0.7091258351260218,0.2781917769643323,0.9873176120903542
21,"(5, 6)",SimulacaoCenario1Deterministico,2.0,0.727670079746006,0.2670263262175731,0.9946964059635789
22,"(5, 6)",SimulacaoCenario1Deterministico,2.0,0.7176149528991485,0.24677601445330358,0.964390967352452
23,"(5, 6)",SimulacaoCenario1Deterministico,2.0,0.7234505314383873,0.27119994171011974,0.9946504731485071
24,"(5, 6)",SimulacaoCenario1Deterministico,2.0,0.7544466649596145,0.23479871005635825,0.9892453750159728
25,"(5, 6)",SimulacaoCenario1Deterministico,2.0,0.714070343812043,0.2476632557783808,0.9617335995904238
26,"(5, 6)",SimulacaoCenario1Deterministico,2.0,0.7422696436313279,0.2388227011715702,0.981092344802898
27,"(5, 6)",SimulacaoCenario1Deterministico,2.0,0.7064308428416398,0.25180781662953566,0.9582386594711754
28,"(5, 6)",SimulacaoCenario1Deterministico,2.0,0.708857149026666,0.28864243831107894,0.9974995873377448
29,"(5, 6)",SimulacaoCenario1Deterministico,2.0,0.7563326977908991,0.22332855149743747,0.9796612492883364
30,"(5, 6)",SimulacaoCenario1Deterministico,3.0,0.7573685528413369,0.23480609510499786,0.9921746479463347
31,"(5, 6)",SimulacaoCenario1Deterministico,3.0,0.6396685246783416,0.3468412494267399,0.9865097741050814
32,"(5, 6)",SimulacaoCenario1Deterministico,3.0,0.701859289279395,0.2816499403099073,0.9835092295893022
